seq,payload_bytes,ewma_bytes,route,switched
554,16384,16384.0,SHM,0
555,16384,16384.0,SHM,0
556,16384,16384.0,SHM,0
557,16384,16384.0,SHM,0
558,16384,16384.0,SHM,0
559,16384,16384.0,SHM,0
560,16384,16384.0,SHM,0
561,16384,16384.0,SHM,0
562,16384,16384.0,SHM,0
563,16384,16384.0,SHM,0
564,16384,16384.0,SHM,0
565,16384,16384.0,SHM,0
566,16384,16384.0,SHM,0
567,16384,16384.0,SHM,0
568,16384,16384.0,SHM,0
569,16384,16384.0,SHM,0
570,16384,16384.0,SHM,0
571,16384,16384.0,SHM,0
572,16384,16384.0,SHM,0
573,16384,16384.0,SHM,0
574,16384,16384.0,SHM,0
575,16384,16384.0,SHM,0
576,16384,16384.0,SHM,0
577,16384,16384.0,SHM,0
578,16384,16384.0,SHM,0
579,16384,16384.0,SHM,0
580,16384,16384.0,SHM,0
581,16384,16384.0,SHM,0
582,16384,16384.0,SHM,0
583,16384,16384.0,SHM,0
584,16384,16384.0,SHM,0
585,16384,16384.0,SHM,0
586,16384,16384.0,SHM,0
587,16384,16384.0,SHM,0
588,16384,16384.0,SHM,0
589,16384,16384.0,SHM,0
590,16384,16384.0,SHM,0
591,16384,16384.0,SHM,0
592,16384,16384.0,SHM,0
593,16384,16384.0,SHM,0
594,16384,16384.0,SHM,0
595,16384,16384.0,SHM,0
596,16384,16384.0,SHM,0
597,16384,16384.0,SHM,0
598,16384,16384.0,SHM,0
599,16384,16384.0,SHM,0
600,16384,16384.0,SHM,0
601,16384,16384.0,SHM,0
602,16384,16384.0,SHM,0
603,16384,16384.0,SHM,0
604,16384,16384.0,SHM,0
605,16384,16384.0,SHM,0
606,16384,16384.0,SHM,0
607,16384,16384.0,SHM,0
608,16384,16384.0,SHM,0
609,16384,16384.0,SHM,0
610,16384,16384.0,SHM,0
611,16384,16384.0,SHM,0
612,16384,16384.0,SHM,0
613,16384,16384.0,SHM,0
614,16384,16384.0,SHM,0
615,16384,16384.0,SHM,0
616,16384,16384.0,SHM,0
617,16384,16384.0,SHM,0
618,16384,16384.0,SHM,0
619,16384,16384.0,SHM,0
620,16384,16384.0,SHM,0
621,16384,16384.0,SHM,0
622,16384,16384.0,SHM,0
623,16384,16384.0,SHM,0
624,16384,16384.0,SHM,0
625,16384,16384.0,SHM,0
626,16384,16384.0,SHM,0
627,16384,16384.0,SHM,0
628,16384,16384.0,SHM,0
629,16384,16384.0,SHM,0
630,16384,16384.0,SHM,0
631,16384,16384.0,SHM,0
632,16384,16384.0,SHM,0
633,16384,16384.0,SHM,0
634,16384,16384.0,SHM,0
635,16384,16384.0,SHM,0
636,16384,16384.0,SHM,0
637,16384,16384.0,SHM,0
638,16384,16384.0,SHM,0
639,16384,16384.0,SHM,0
640,16384,16384.0,SHM,0
641,16384,16384.0,SHM,0
642,16384,16384.0,SHM,0
643,16384,16384.0,SHM,0
644,16384,16384.0,SHM,0
645,16384,16384.0,SHM,0
646,16384,16384.0,SHM,0
647,16384,16384.0,SHM,0
648,16384,16384.0,SHM,0
649,16384,16384.0,SHM,0
650,16384,16384.0,SHM,0
651,16384,16384.0,SHM,0
652,16384,16384.0,SHM,0
653,16384,16384.0,SHM,0
654,16384,16384.0,SHM,0
655,16384,16384.0,SHM,0
656,16384,16384.0,SHM,0
657,16384,16384.0,SHM,0
658,16384,16384.0,SHM,0
659,16384,16384.0,SHM,0
660,16384,16384.0,SHM,0
661,16384,16384.0,SHM,0
662,16384,16384.0,SHM,0
663,16384,16384.0,SHM,0
664,16384,16384.0,SHM,0
665,16384,16384.0,SHM,0
666,16384,16384.0,SHM,0
667,16384,16384.0,SHM,0
668,16384,16384.0,SHM,0
669,16384,16384.0,SHM,0
670,16384,16384.0,SHM,0
671,16384,16384.0,SHM,0
672,16384,16384.0,SHM,0
673,16384,16384.0,SHM,0
674,16384,16384.0,SHM,0
675,16384,16384.0,SHM,0
676,16384,16384.0,SHM,0
677,16384,16384.0,SHM,0
678,16384,16384.0,SHM,0
679,16384,16384.0,SHM,0
680,16384,16384.0,SHM,0
681,16384,16384.0,SHM,0
682,16384,16384.0,SHM,0
683,16384,16384.0,SHM,0
684,16384,16384.0,SHM,0
685,16384,16384.0,SHM,0
686,16384,16384.0,SHM,0
687,16384,16384.0,SHM,0
688,16384,16384.0,SHM,0
689,16384,16384.0,SHM,0
690,16384,16384.0,SHM,0
691,16384,16384.0,SHM,0
692,16384,16384.0,SHM,0
693,16384,16384.0,SHM,0
694,16384,16384.0,SHM,0
695,16384,16384.0,SHM,0
696,16384,16384.0,SHM,0
697,16384,16384.0,SHM,0
698,16384,16384.0,SHM,0
699,16384,16384.0,SHM,0
700,16384,16384.0,SHM,0
701,16384,16384.0,SHM,0
702,16384,16384.0,SHM,0
703,16384,16384.0,SHM,0
704,16384,16384.0,SHM,0
705,16384,16384.0,SHM,0
706,16384,16384.0,SHM,0
707,16384,16384.0,SHM,0
708,16384,16384.0,SHM,0
709,16384,16384.0,SHM,0
710,16384,16384.0,SHM,0
711,16384,16384.0,SHM,0
712,16384,16384.0,SHM,0
713,16384,16384.0,SHM,0
714,16384,16384.0,SHM,0
715,16384,16384.0,SHM,0
716,16384,16384.0,SHM,0
717,16384,16384.0,SHM,0
718,16384,16384.0,SHM,0
719,16384,16384.0,SHM,0
720,16384,16384.0,SHM,0
721,16384,16384.0,SHM,0
722,16384,16384.0,SHM,0
723,16384,16384.0,SHM,0
724,16384,16384.0,SHM,0
725,16384,16384.0,SHM,0
726,16384,16384.0,SHM,0
727,16384,16384.0,SHM,0
728,16384,16384.0,SHM,0
729,16384,16384.0,SHM,0
730,16384,16384.0,SHM,0
731,16384,16384.0,SHM,0
732,16384,16384.0,SHM,0
733,16384,16384.0,SHM,0
734,16384,16384.0,SHM,0
735,16384,16384.0,SHM,0
736,16384,16384.0,SHM,0
737,16384,16384.0,SHM,0
738,16384,16384.0,SHM,0
739,16384,16384.0,SHM,0
740,16384,16384.0,SHM,0
741,16384,16384.0,SHM,0
742,16384,16384.0,SHM,0
743,16384,16384.0,SHM,0
744,16384,16384.0,SHM,0
745,16384,16384.0,SHM,0
746,16384,16384.0,SHM,0
747,16384,16384.0,SHM,0
748,16384,16384.0,SHM,0
749,16384,16384.0,SHM,0
750,16384,16384.0,SHM,0
751,16384,16384.0,SHM,0
752,16384,16384.0,SHM,0
753,16384,16384.0,SHM,0
754,16384,16384.0,SHM,0
755,16384,16384.0,SHM,0
756,16384,16384.0,SHM,0
757,16384,16384.0,SHM,0
758,16384,16384.0,SHM,0
759,16384,16384.0,SHM,0
760,16384,16384.0,SHM,0
761,16384,16384.0,SHM,0
762,16384,16384.0,SHM,0
763,16384,16384.0,SHM,0
764,16384,16384.0,SHM,0
765,16384,16384.0,SHM,0
766,16384,16384.0,SHM,0
767,16384,16384.0,SHM,0
768,16384,16384.0,SHM,0
769,16384,16384.0,SHM,0
770,16384,16384.0,SHM,0
771,16384,16384.0,SHM,0
772,16384,16384.0,SHM,0
773,16384,16384.0,SHM,0
774,16384,16384.0,SHM,0
775,16384,16384.0,SHM,0
776,16384,16384.0,SHM,0
777,16384,16384.0,SHM,0
778,16384,16384.0,SHM,0
779,16384,16384.0,SHM,0
780,16384,16384.0,SHM,0
781,16384,16384.0,SHM,0
782,16384,16384.0,SHM,0
783,16384,16384.0,SHM,0
784,16384,16384.0,SHM,0
785,16384,16384.0,SHM,0
786,16384,16384.0,SHM,0
787,16384,16384.0,SHM,0
788,16384,16384.0,SHM,0
789,16384,16384.0,SHM,0
790,16384,16384.0,SHM,0
791,16384,16384.0,SHM,0
792,16384,16384.0,SHM,0
793,16384,16384.0,SHM,0
794,16384,16384.0,SHM,0
795,16384,16384.0,SHM,0
796,16384,16384.0,SHM,0
797,16384,16384.0,SHM,0
798,16384,16384.0,SHM,0
799,16384,16384.0,SHM,0
800,512,13209.6,SHM,0
801,512,10670.1,SHM,0
802,512,8638.5,SHM,0
803,512,7013.2,SHM,0
804,512,5712.9,SHM,0
805,512,4672.7,SHM,0
806,512,3840.6,SHM,0
807,512,3174.9,SHM,0
808,512,2642.3,SHM,0
809,512,2216.2,SHM,0
810,512,1875.4,SHM,0
811,512,1602.7,SHM,0
812,512,1384.6,SHM,0
813,512,1210.1,SHM,0
814,512,1070.4,SHM,0
815,512,958.8,UDS,1
816,512,869.4,UDS,0
817,512,797.9,UDS,0
818,512,740.7,UDS,0
819,512,695.0,UDS,0
820,512,658.4,UDS,0
821,512,629.1,UDS,0
822,512,605.7,UDS,0
823,512,587.0,UDS,0
824,512,572.0,UDS,0
825,512,560.0,UDS,0
826,512,550.4,UDS,0
827,512,542.7,UDS,0
828,512,536.6,UDS,0
829,512,531.6,UDS,0
830,512,527.7,UDS,0
831,512,524.6,UDS,0
832,512,522.1,UDS,0
833,512,520.0,UDS,0
834,512,518.4,UDS,0
835,512,517.2,UDS,0
836,512,516.1,UDS,0
837,512,515.3,UDS,0
838,512,514.6,UDS,0
839,512,514.1,UDS,0
840,512,513.7,UDS,0
841,512,513.4,UDS,0
842,512,513.1,UDS,0
843,512,512.9,UDS,0
844,512,512.7,UDS,0
845,512,512.6,UDS,0
846,512,512.4,UDS,0
847,512,512.4,UDS,0
848,512,512.3,UDS,0
849,512,512.2,UDS,0
850,512,512.2,UDS,0
851,512,512.1,UDS,0
852,512,512.1,UDS,0
853,512,512.1,UDS,0
854,512,512.1,UDS,0
855,512,512.1,UDS,0
856,512,512.0,UDS,0
857,512,512.0,UDS,0
858,512,512.0,UDS,0
859,512,512.0,UDS,0
860,512,512.0,UDS,0
861,512,512.0,UDS,0
862,512,512.0,UDS,0
863,512,512.0,UDS,0
864,512,512.0,UDS,0
865,512,512.0,UDS,0
866,512,512.0,UDS,0
867,512,512.0,UDS,0
868,512,512.0,UDS,0
869,512,512.0,UDS,0
870,512,512.0,UDS,0
871,512,512.0,UDS,0
872,512,512.0,UDS,0
873,512,512.0,UDS,0
874,512,512.0,UDS,0
875,512,512.0,UDS,0
876,512,512.0,UDS,0
877,512,512.0,UDS,0
878,512,512.0,UDS,0
879,512,512.0,UDS,0
880,512,512.0,UDS,0
881,512,512.0,UDS,0
882,512,512.0,UDS,0
883,512,512.0,UDS,0
884,512,512.0,UDS,0
885,512,512.0,UDS,0
886,512,512.0,UDS,0
887,512,512.0,UDS,0
888,512,512.0,UDS,0
889,512,512.0,UDS,0
890,512,512.0,UDS,0
